filename,logit,time
./downsamp_images\fake_biggan.png,0.999990,0.266532
./downsamp_images\fake_biggan.png,0.999990,0.247357
./downsamp_images\fake_cyclegan.png,0.999949,0.299032
./downsamp_images\fake_cyclegan.png,0.999949,0.249886
./downsamp_images\fake_pix2pix.png,1.000000,0.357919
./downsamp_images\fake_pix2pix.png,1.000000,0.366954
./downsamp_images\fake_progan.png,0.999998,0.340341
./downsamp_images\fake_progan.png,0.999998,0.325912
./downsamp_images\fake_realgan.png,0.009538,0.242092
./downsamp_images\fake_realgan.png,0.009538,0.249450
./downsamp_images\fake_stylegan.png,0.032635,0.277393
./downsamp_images\fake_stylegan.png,0.032635,0.240744
./downsamp_images\image_000001.jpg,0.000000,0.263481
./downsamp_images\image_000001.jpg,0.000000,0.237933
./downsamp_images\image_000002.jpeg,0.000000,0.246477
./downsamp_images\image_000002.jpeg,0.000000,0.253149
./downsamp_images\image_000003.png,0.000051,0.246095
./downsamp_images\image_000003.png,0.000051,0.253565
./downsamp_images\image_000004.jpg,0.000000,0.245585
./downsamp_images\image_000004.jpg,0.000000,0.240488
./downsamp_images\image_000005.jpg,0.000000,0.244143
./downsamp_images\image_000005.jpg,0.000000,0.247537
./downsamp_images\real_biggan.png,0.000000,0.264737
./downsamp_images\real_biggan.png,0.000000,0.309468
./downsamp_images\real_cyclegan.png,0.000007,0.241535
./downsamp_images\real_cyclegan.png,0.000007,0.250396
./downsamp_images\real_pix2pix.png,0.965126,0.265275
./downsamp_images\real_pix2pix.png,0.965126,0.267413
./downsamp_images\real_progan.png,0.000000,0.232766
./downsamp_images\real_progan.png,0.000000,0.249683
./downsamp_images\real_realgan.png,0.000000,0.250626
./downsamp_images\real_realgan.png,0.000000,0.233379
./downsamp_images\real_stylegan.png,0.000000,0.266953
./downsamp_images\real_stylegan.png,0.000000,0.247648
./downsamp_images\with-mask-default-mask-seed0000.png,0.092967,0.238219
./downsamp_images\with-mask-default-mask-seed0000.png,0.092967,0.245986
./downsamp_images\with-mask-default-mask-seed0001.png,0.289259,0.253200
./downsamp_images\with-mask-default-mask-seed0001.png,0.289259,0.240720
./downsamp_images\with-mask-default-mask-seed0002.png,0.212358,0.245512
./downsamp_images\with-mask-default-mask-seed0002.png,0.212358,0.244037
./downsamp_images\with-mask-default-mask-seed0003.png,0.030388,0.232152
./downsamp_images\with-mask-default-mask-seed0003.png,0.030388,0.234152
./downsamp_images\with-mask-default-mask-seed0004.png,0.002237,0.248461
./downsamp_images\with-mask-default-mask-seed0004.png,0.002237,0.266501
./downsamp_images\with-mask-default-mask-seed0005.png,0.383741,0.248662
./downsamp_images\with-mask-default-mask-seed0005.png,0.383741,0.234094
./downsamp_images\with-mask-default-mask-seed0006.png,0.601883,0.266174
./downsamp_images\with-mask-default-mask-seed0006.png,0.601883,0.236431
./downsamp_images\with-mask-default-mask-seed0007.png,0.034765,0.249373
./downsamp_images\with-mask-default-mask-seed0007.png,0.034765,0.282468
