filename,logit,time
./downsamphalf_images\fake_biggan.png,0.999990,0.308471
./downsamphalf_images\fake_biggan.png,0.999990,0.392510
./downsamphalf_images\fake_cyclegan.png,0.999949,0.270119
./downsamphalf_images\fake_cyclegan.png,0.999949,0.281967
./downsamphalf_images\fake_pix2pix.png,1.000000,0.283139
./downsamphalf_images\fake_pix2pix.png,1.000000,0.261921
./downsamphalf_images\fake_progan.png,0.999998,0.264955
./downsamphalf_images\fake_progan.png,0.999998,0.227645
./downsamphalf_images\fake_realgan.png,0.009538,0.276985
./downsamphalf_images\fake_realgan.png,0.009538,0.221869
./downsamphalf_images\fake_stylegan.png,0.032635,0.235839
./downsamphalf_images\fake_stylegan.png,0.032635,0.249710
./downsamphalf_images\image_000001.jpg,0.000000,1.856058
./downsamphalf_images\image_000001.jpg,0.000000,1.870586
./downsamphalf_images\image_000002.jpeg,0.000730,1.787653
./downsamphalf_images\image_000002.jpeg,0.000730,1.771246
./downsamphalf_images\image_000003.png,0.004426,1.706694
./downsamphalf_images\image_000003.png,0.004426,1.692337
./downsamphalf_images\image_000004.jpg,0.000000,1.741963
./downsamphalf_images\image_000004.jpg,0.000000,1.693033
./downsamphalf_images\image_000005.jpg,0.000000,1.717313
./downsamphalf_images\image_000005.jpg,0.000000,1.709049
./downsamphalf_images\real_biggan.png,0.000000,0.238160
./downsamphalf_images\real_biggan.png,0.000000,0.268532
./downsamphalf_images\real_cyclegan.png,0.000007,0.257153
./downsamphalf_images\real_cyclegan.png,0.000007,0.297235
./downsamphalf_images\real_pix2pix.png,0.965126,0.260030
./downsamphalf_images\real_pix2pix.png,0.965126,0.250441
./downsamphalf_images\real_progan.png,0.000000,0.249571
./downsamphalf_images\real_progan.png,0.000000,0.249985
./downsamphalf_images\real_realgan.png,0.000000,0.268561
./downsamphalf_images\real_realgan.png,0.000000,0.246097
./downsamphalf_images\real_stylegan.png,0.000000,0.254596
./downsamphalf_images\real_stylegan.png,0.000000,0.246412
./downsamphalf_images\with-mask-default-mask-seed0000.png,0.981594,3.618126
./downsamphalf_images\with-mask-default-mask-seed0000.png,0.981594,3.431927
./downsamphalf_images\with-mask-default-mask-seed0001.png,0.999110,3.524930
./downsamphalf_images\with-mask-default-mask-seed0001.png,0.999110,3.495448
./downsamphalf_images\with-mask-default-mask-seed0002.png,0.995245,3.461987
./downsamphalf_images\with-mask-default-mask-seed0002.png,0.995245,3.457225
./downsamphalf_images\with-mask-default-mask-seed0003.png,0.939742,3.495679
./downsamphalf_images\with-mask-default-mask-seed0003.png,0.939742,3.548245
./downsamphalf_images\with-mask-default-mask-seed0004.png,0.968840,3.539112
./downsamphalf_images\with-mask-default-mask-seed0004.png,0.968840,3.445647
./downsamphalf_images\with-mask-default-mask-seed0005.png,0.973449,3.517443
./downsamphalf_images\with-mask-default-mask-seed0005.png,0.973449,3.471373
./downsamphalf_images\with-mask-default-mask-seed0006.png,0.994206,3.564537
./downsamphalf_images\with-mask-default-mask-seed0006.png,0.994206,3.752078
./downsamphalf_images\with-mask-default-mask-seed0007.png,0.530802,4.151800
./downsamphalf_images\with-mask-default-mask-seed0007.png,0.530802,3.607810
