filename,logit,time
./example_images\fake_biggan.png,1.000000,1.088760
./example_images\fake_biggan.png,1.000000,1.213202
./example_images\fake_cyclegan.png,0.999287,1.034141
./example_images\fake_cyclegan.png,0.999287,0.916722
./example_images\fake_pix2pix.png,1.000000,1.010862
./example_images\fake_pix2pix.png,1.000000,0.939735
./example_images\fake_progan.png,1.000000,0.956427
./example_images\fake_progan.png,1.000000,0.935241
./example_images\fake_realgan.png,0.991868,0.951971
./example_images\fake_realgan.png,0.991868,0.944723
./example_images\fake_stylegan.png,0.999640,0.944282
./example_images\fake_stylegan.png,0.999640,0.924393
./example_images\image_000001.jpg,0.000000,10.226123
./example_images\image_000001.jpg,0.000000,10.027670
./example_images\image_000002.jpeg,0.000205,10.503993
./example_images\image_000002.jpeg,0.000205,10.177576
./example_images\image_000003.png,0.000517,9.939828
./example_images\image_000003.png,0.000517,10.193356
./example_images\image_000004.jpg,0.000000,10.963702
./example_images\image_000004.jpg,0.000000,11.139096
./example_images\image_000005.jpg,0.000000,11.076651
./example_images\image_000005.jpg,0.000000,10.898167
./example_images\real_biggan.png,0.000000,0.990119
./example_images\real_biggan.png,0.000000,0.948598
./example_images\real_cyclegan.png,0.000014,0.974549
./example_images\real_cyclegan.png,0.000014,0.981323
./example_images\real_pix2pix.png,0.002617,0.943954
./example_images\real_pix2pix.png,0.002617,0.957016
./example_images\real_progan.png,0.000000,0.929245
./example_images\real_progan.png,0.000000,0.921109
./example_images\real_realgan.png,0.003621,0.897973
./example_images\real_realgan.png,0.003621,0.927918
./example_images\real_stylegan.png,0.000000,0.921199
./example_images\real_stylegan.png,0.000000,0.929641
./example_images\with-mask-default-mask-seed0000.png,0.994173,18.794100
./example_images\with-mask-default-mask-seed0000.png,0.994173,19.226752
./example_images\with-mask-default-mask-seed0001.png,0.998697,19.224788
./example_images\with-mask-default-mask-seed0001.png,0.998697,19.662570
./example_images\with-mask-default-mask-seed0002.png,0.998178,19.326004
./example_images\with-mask-default-mask-seed0002.png,0.998178,19.228469
./example_images\with-mask-default-mask-seed0003.png,0.984580,19.479200
./example_images\with-mask-default-mask-seed0003.png,0.984580,19.284050
./example_images\with-mask-default-mask-seed0004.png,0.981936,19.022548
./example_images\with-mask-default-mask-seed0004.png,0.981936,19.897593
./example_images\with-mask-default-mask-seed0005.png,0.992335,20.378017
./example_images\with-mask-default-mask-seed0005.png,0.992335,19.885422
./example_images\with-mask-default-mask-seed0006.png,0.994253,19.751195
./example_images\with-mask-default-mask-seed0006.png,0.994253,20.317793
./example_images\with-mask-default-mask-seed0007.png,0.987558,19.983294
./example_images\with-mask-default-mask-seed0007.png,0.987558,20.230237
