filename,logit,time
./gblurred_images\fake_biggan.png,0.999947,1.048940
./gblurred_images\fake_biggan.png,0.999947,1.003951
./gblurred_images\fake_cyclegan.png,0.996120,0.872517
./gblurred_images\fake_cyclegan.png,0.996120,0.877642
./gblurred_images\fake_pix2pix.png,0.999827,0.938754
./gblurred_images\fake_pix2pix.png,0.999827,0.877478
./gblurred_images\fake_progan.png,0.999993,0.912148
./gblurred_images\fake_progan.png,0.999993,0.890558
./gblurred_images\fake_realgan.png,0.830309,0.952868
./gblurred_images\fake_realgan.png,0.830309,0.879895
./gblurred_images\fake_stylegan.png,0.999831,0.878983
./gblurred_images\fake_stylegan.png,0.999831,0.893219
./gblurred_images\image_000001.jpg,0.001069,8.037375
./gblurred_images\image_000001.jpg,0.001069,7.536373
./gblurred_images\image_000002.jpeg,0.084043,7.487409
./gblurred_images\image_000002.jpeg,0.084043,8.666598
./gblurred_images\image_000003.png,0.000316,8.571255
./gblurred_images\image_000003.png,0.000316,8.594532
./gblurred_images\image_000004.jpg,0.000013,8.577804
./gblurred_images\image_000004.jpg,0.000013,8.537733
./gblurred_images\image_000005.jpg,0.001348,8.447732
./gblurred_images\image_000005.jpg,0.001348,8.648028
./gblurred_images\real_biggan.png,0.000010,0.955379
./gblurred_images\real_biggan.png,0.000010,0.894315
./gblurred_images\real_cyclegan.png,0.000128,0.927483
./gblurred_images\real_cyclegan.png,0.000128,0.905733
./gblurred_images\real_pix2pix.png,0.856068,0.912384
./gblurred_images\real_pix2pix.png,0.856068,0.912750
./gblurred_images\real_progan.png,0.000002,0.932765
./gblurred_images\real_progan.png,0.000002,0.908608
./gblurred_images\real_realgan.png,0.000000,0.973701
./gblurred_images\real_realgan.png,0.000000,0.861412
./gblurred_images\real_stylegan.png,0.000000,0.921847
./gblurred_images\real_stylegan.png,0.000000,0.865025
./gblurred_images\with-mask-default-mask-seed0000.png,0.996867,21.024767
./gblurred_images\with-mask-default-mask-seed0000.png,0.996867,18.669405
./gblurred_images\with-mask-default-mask-seed0001.png,0.999983,17.494275
./gblurred_images\with-mask-default-mask-seed0001.png,0.999983,19.356763
./gblurred_images\with-mask-default-mask-seed0002.png,0.999590,20.170612
./gblurred_images\with-mask-default-mask-seed0002.png,0.999590,21.094083
./gblurred_images\with-mask-default-mask-seed0003.png,0.940822,19.309735
./gblurred_images\with-mask-default-mask-seed0003.png,0.940822,18.354618
./gblurred_images\with-mask-default-mask-seed0004.png,0.964833,18.582139
./gblurred_images\with-mask-default-mask-seed0004.png,0.964833,18.051759
./gblurred_images\with-mask-default-mask-seed0005.png,0.990933,21.183824
./gblurred_images\with-mask-default-mask-seed0005.png,0.990933,23.064738
./gblurred_images\with-mask-default-mask-seed0006.png,0.996313,19.650684
./gblurred_images\with-mask-default-mask-seed0006.png,0.996313,21.029500
./gblurred_images\with-mask-default-mask-seed0007.png,0.974452,21.634365
./gblurred_images\with-mask-default-mask-seed0007.png,0.974452,23.347517
