filename,logit,time
./resizehalf_images\fake_biggan.png,1.000000,0.962491
./resizehalf_images\fake_biggan.png,1.000000,1.137334
./resizehalf_images\fake_cyclegan.png,0.999862,0.939274
./resizehalf_images\fake_cyclegan.png,0.999862,0.893252
./resizehalf_images\fake_pix2pix.png,1.000000,0.860693
./resizehalf_images\fake_pix2pix.png,1.000000,0.877085
./resizehalf_images\fake_progan.png,1.000000,0.957207
./resizehalf_images\fake_progan.png,1.000000,0.892826
./resizehalf_images\fake_realgan.png,0.981003,0.939088
./resizehalf_images\fake_realgan.png,0.981003,0.880800
./resizehalf_images\fake_stylegan.png,0.999966,0.895751
./resizehalf_images\fake_stylegan.png,0.999966,0.909499
./resizehalf_images\image_000001.jpg,0.000009,7.409678
./resizehalf_images\image_000001.jpg,0.000009,7.427543
./resizehalf_images\image_000002.jpeg,0.021913,7.379022
./resizehalf_images\image_000002.jpeg,0.021913,8.274851
./resizehalf_images\image_000003.png,0.000632,8.663241
./resizehalf_images\image_000003.png,0.000632,8.539781
./resizehalf_images\image_000004.jpg,0.000000,8.524413
./resizehalf_images\image_000004.jpg,0.000000,8.559685
./resizehalf_images\image_000005.jpg,0.000004,8.645340
./resizehalf_images\image_000005.jpg,0.000004,8.636095
./resizehalf_images\real_biggan.png,0.000000,0.888926
./resizehalf_images\real_biggan.png,0.000000,0.939851
./resizehalf_images\real_cyclegan.png,0.000003,0.893844
./resizehalf_images\real_cyclegan.png,0.000003,0.886475
./resizehalf_images\real_pix2pix.png,0.989247,0.916145
./resizehalf_images\real_pix2pix.png,0.989247,0.954256
./resizehalf_images\real_progan.png,0.000000,0.909485
./resizehalf_images\real_progan.png,0.000000,0.927679
./resizehalf_images\real_realgan.png,0.000005,0.968841
./resizehalf_images\real_realgan.png,0.000005,0.877077
./resizehalf_images\real_stylegan.png,0.000000,0.897357
./resizehalf_images\real_stylegan.png,0.000000,0.865650
./resizehalf_images\with-mask-default-mask-seed0000.png,0.992829,17.306435
./resizehalf_images\with-mask-default-mask-seed0000.png,0.992829,17.579280
./resizehalf_images\with-mask-default-mask-seed0001.png,0.998290,17.754026
./resizehalf_images\with-mask-default-mask-seed0001.png,0.998290,18.143222
./resizehalf_images\with-mask-default-mask-seed0002.png,0.997563,18.191287
./resizehalf_images\with-mask-default-mask-seed0002.png,0.997563,17.814676
./resizehalf_images\with-mask-default-mask-seed0003.png,0.982333,18.395889
./resizehalf_images\with-mask-default-mask-seed0003.png,0.982333,17.878016
./resizehalf_images\with-mask-default-mask-seed0004.png,0.979272,17.846164
./resizehalf_images\with-mask-default-mask-seed0004.png,0.979272,18.219124
./resizehalf_images\with-mask-default-mask-seed0005.png,0.990285,17.866099
./resizehalf_images\with-mask-default-mask-seed0005.png,0.990285,17.869457
./resizehalf_images\with-mask-default-mask-seed0006.png,0.994251,18.018939
./resizehalf_images\with-mask-default-mask-seed0006.png,0.994251,17.933335
./resizehalf_images\with-mask-default-mask-seed0007.png,0.981400,17.885802
./resizehalf_images\with-mask-default-mask-seed0007.png,0.981400,17.996303
