filename,logit,time
./rotate_images\warped_image_0.png,0.999999,1.042766
./rotate_images\warped_image_0.png,0.999999,1.151027
./rotate_images\warped_image_1.png,0.963159,0.998522
./rotate_images\warped_image_1.png,0.963159,1.124701
./rotate_images\warped_image_10.png,0.002815,8.190480
./rotate_images\warped_image_10.png,0.002815,8.703584
./rotate_images\warped_image_11.png,0.000000,1.173337
./rotate_images\warped_image_11.png,0.000000,1.667286
./rotate_images\warped_image_12.png,0.000007,1.068309
./rotate_images\warped_image_12.png,0.000007,1.047530
./rotate_images\warped_image_13.png,0.036916,0.991130
./rotate_images\warped_image_13.png,0.036916,0.993293
./rotate_images\warped_image_14.png,0.000000,0.902344
./rotate_images\warped_image_14.png,0.000000,1.178830
./rotate_images\warped_image_15.png,0.000593,0.982816
./rotate_images\warped_image_15.png,0.000593,1.098931
./rotate_images\warped_image_16.png,0.000000,1.089029
./rotate_images\warped_image_16.png,0.000000,1.043764
./rotate_images\warped_image_2.png,1.000000,0.883666
./rotate_images\warped_image_2.png,1.000000,1.611571
./rotate_images\warped_image_3.png,1.000000,2.203018
./rotate_images\warped_image_3.png,1.000000,1.585051
./rotate_images\warped_image_4.png,0.996675,1.024452
./rotate_images\warped_image_4.png,0.996675,1.104447
./rotate_images\warped_image_5.png,0.999550,0.962834
./rotate_images\warped_image_5.png,0.999550,1.132495
./rotate_images\warped_image_6.png,0.012140,9.328265
./rotate_images\warped_image_6.png,0.012140,8.510815
./rotate_images\warped_image_7.png,0.033873,8.153250
./rotate_images\warped_image_7.png,0.033873,9.573099
./rotate_images\warped_image_8.png,0.029635,9.599364
./rotate_images\warped_image_8.png,0.029635,9.877074
./rotate_images\warped_image_9.png,0.000659,8.970777
./rotate_images\warped_image_9.png,0.000659,8.604972
