filename,logit,time
./rotated_images\fake_biggan.png,0.999988,0.954728
./rotated_images\fake_biggan.png,0.999988,0.987107
./rotated_images\fake_cyclegan.png,0.837860,0.894037
./rotated_images\fake_cyclegan.png,0.837860,0.877139
./rotated_images\fake_pix2pix.png,0.999999,0.907536
./rotated_images\fake_pix2pix.png,0.999999,0.942571
./rotated_images\fake_progan.png,0.999998,0.939966
./rotated_images\fake_progan.png,0.999998,0.879323
./rotated_images\fake_realgan.png,0.994977,0.901462
./rotated_images\fake_realgan.png,0.994977,0.898137
./rotated_images\fake_stylegan.png,0.999336,0.893217
./rotated_images\fake_stylegan.png,0.999336,0.956368
./rotated_images\image_000001.jpg,0.000037,8.884206
./rotated_images\image_000001.jpg,0.000037,8.772894
./rotated_images\image_000002.jpeg,0.002662,9.200535
./rotated_images\image_000002.jpeg,0.002662,8.677955
./rotated_images\image_000003.png,0.028800,8.665461
./rotated_images\image_000003.png,0.028800,8.507229
./rotated_images\image_000004.jpg,0.000000,8.603442
./rotated_images\image_000004.jpg,0.000000,8.445050
./rotated_images\image_000005.jpg,0.000003,8.963202
./rotated_images\image_000005.jpg,0.000003,8.557185
./rotated_images\real_biggan.png,0.000000,0.920567
./rotated_images\real_biggan.png,0.000000,0.942415
./rotated_images\real_cyclegan.png,0.000035,0.901363
./rotated_images\real_cyclegan.png,0.000035,0.882859
./rotated_images\real_pix2pix.png,0.089453,0.909065
./rotated_images\real_pix2pix.png,0.089453,0.913375
./rotated_images\real_progan.png,0.000000,0.889949
./rotated_images\real_progan.png,0.000000,0.875544
./rotated_images\real_realgan.png,0.001957,0.908663
./rotated_images\real_realgan.png,0.001957,0.956090
./rotated_images\real_stylegan.png,0.000000,0.909923
./rotated_images\real_stylegan.png,0.000000,0.876359
./rotated_images\with-mask-default-mask-seed0000.png,0.991655,17.391398
./rotated_images\with-mask-default-mask-seed0000.png,0.991655,17.670279
./rotated_images\with-mask-default-mask-seed0001.png,0.998582,17.869171
./rotated_images\with-mask-default-mask-seed0001.png,0.998582,17.892210
./rotated_images\with-mask-default-mask-seed0002.png,0.993619,17.579739
./rotated_images\with-mask-default-mask-seed0002.png,0.993619,17.832177
./rotated_images\with-mask-default-mask-seed0003.png,0.982900,17.893031
./rotated_images\with-mask-default-mask-seed0003.png,0.982900,18.191417
./rotated_images\with-mask-default-mask-seed0004.png,0.993148,17.768379
./rotated_images\with-mask-default-mask-seed0004.png,0.993148,18.096884
./rotated_images\with-mask-default-mask-seed0005.png,0.996698,17.987809
./rotated_images\with-mask-default-mask-seed0005.png,0.996698,18.018478
./rotated_images\with-mask-default-mask-seed0006.png,0.988266,17.878262
./rotated_images\with-mask-default-mask-seed0006.png,0.988266,18.255104
./rotated_images\with-mask-default-mask-seed0007.png,0.981944,18.221713
./rotated_images\with-mask-default-mask-seed0007.png,0.981944,17.925552
