filename,logit,time
./rotated_images225\fake_biggan.png,0.999988,1.562142
./rotated_images225\fake_biggan.png,0.999988,1.195252
./rotated_images225\fake_cyclegan.png,0.541954,1.213361
./rotated_images225\fake_cyclegan.png,0.541954,0.916669
./rotated_images225\fake_pix2pix.png,0.999972,0.881401
./rotated_images225\fake_pix2pix.png,0.999972,0.937238
./rotated_images225\fake_progan.png,0.999999,0.892400
./rotated_images225\fake_progan.png,0.999999,0.894250
./rotated_images225\fake_realgan.png,0.996408,0.877144
./rotated_images225\fake_realgan.png,0.996408,0.970836
./rotated_images225\fake_stylegan.png,0.995804,0.907986
./rotated_images225\fake_stylegan.png,0.995804,0.887223
./rotated_images225\image_000001.jpg,0.000034,7.449044
./rotated_images225\image_000001.jpg,0.000034,7.551066
./rotated_images225\image_000002.jpeg,0.002547,7.445087
./rotated_images225\image_000002.jpeg,0.002547,9.216162
./rotated_images225\image_000003.png,0.018370,8.989748
./rotated_images225\image_000003.png,0.018370,8.413828
./rotated_images225\image_000004.jpg,0.000001,8.491899
./rotated_images225\image_000004.jpg,0.000001,8.507308
./rotated_images225\image_000005.jpg,0.000002,8.635425
./rotated_images225\image_000005.jpg,0.000002,8.527232
./rotated_images225\real_biggan.png,0.000000,0.935514
./rotated_images225\real_biggan.png,0.000000,0.909720
./rotated_images225\real_cyclegan.png,0.000067,0.937980
./rotated_images225\real_cyclegan.png,0.000067,0.909511
./rotated_images225\real_pix2pix.png,0.058060,0.910051
./rotated_images225\real_pix2pix.png,0.058060,0.923788
./rotated_images225\real_progan.png,0.000000,0.923821
./rotated_images225\real_progan.png,0.000000,0.909581
./rotated_images225\real_realgan.png,0.000382,0.908998
./rotated_images225\real_realgan.png,0.000382,0.969836
./rotated_images225\real_stylegan.png,0.000000,0.914607
./rotated_images225\real_stylegan.png,0.000000,0.887530
./rotated_images225\with-mask-default-mask-seed0000.png,0.988283,17.735636
./rotated_images225\with-mask-default-mask-seed0000.png,0.988283,17.754282
./rotated_images225\with-mask-default-mask-seed0001.png,0.997831,18.958636
./rotated_images225\with-mask-default-mask-seed0001.png,0.997831,19.665423
./rotated_images225\with-mask-default-mask-seed0002.png,0.991523,18.894924
./rotated_images225\with-mask-default-mask-seed0002.png,0.991523,19.870204
./rotated_images225\with-mask-default-mask-seed0003.png,0.978235,19.172236
./rotated_images225\with-mask-default-mask-seed0003.png,0.978235,20.013241
./rotated_images225\with-mask-default-mask-seed0004.png,0.991298,20.055456
./rotated_images225\with-mask-default-mask-seed0004.png,0.991298,18.943614
./rotated_images225\with-mask-default-mask-seed0005.png,0.994676,20.354096
./rotated_images225\with-mask-default-mask-seed0005.png,0.994676,19.319665
./rotated_images225\with-mask-default-mask-seed0006.png,0.987427,17.689714
./rotated_images225\with-mask-default-mask-seed0006.png,0.987427,18.071184
./rotated_images225\with-mask-default-mask-seed0007.png,0.976853,18.342621
./rotated_images225\with-mask-default-mask-seed0007.png,0.976853,18.286787
