filename,logit,time
./rotated_warped_images225\fake_biggan.png,0.991415,2.073400
./rotated_warped_images225\fake_biggan.png,0.991415,1.666072
./rotated_warped_images225\fake_cyclegan.png,0.311724,1.646485
./rotated_warped_images225\fake_cyclegan.png,0.311724,1.676512
./rotated_warped_images225\fake_pix2pix.png,0.991137,1.656978
./rotated_warped_images225\fake_pix2pix.png,0.991137,1.664892
./rotated_warped_images225\fake_progan.png,0.997979,1.787807
./rotated_warped_images225\fake_progan.png,0.997979,1.640996
./rotated_warped_images225\fake_realgan.png,0.899536,1.632521
./rotated_warped_images225\fake_realgan.png,0.899536,1.698387
./rotated_warped_images225\fake_stylegan.png,0.876636,1.677342
./rotated_warped_images225\fake_stylegan.png,0.876636,1.629498
./rotated_warped_images225\image_000001.jpg,0.000213,9.963959
./rotated_warped_images225\image_000001.jpg,0.000213,11.377398
./rotated_warped_images225\image_000002.jpeg,0.005773,11.171000
./rotated_warped_images225\image_000002.jpeg,0.005773,11.249160
./rotated_warped_images225\image_000003.png,0.023083,11.563752
./rotated_warped_images225\image_000003.png,0.023083,11.751050
./rotated_warped_images225\image_000004.jpg,0.000011,11.307076
./rotated_warped_images225\image_000004.jpg,0.000011,11.407975
./rotated_warped_images225\image_000005.jpg,0.000023,11.475760
./rotated_warped_images225\image_000005.jpg,0.000023,11.318389
./rotated_warped_images225\real_biggan.png,0.000034,1.747460
./rotated_warped_images225\real_biggan.png,0.000034,1.662995
./rotated_warped_images225\real_cyclegan.png,0.003461,1.659313
./rotated_warped_images225\real_cyclegan.png,0.003461,1.662189
./rotated_warped_images225\real_pix2pix.png,0.091414,1.629732
./rotated_warped_images225\real_pix2pix.png,0.091414,1.708760
./rotated_warped_images225\real_progan.png,0.000039,1.706794
./rotated_warped_images225\real_progan.png,0.000039,1.674974
./rotated_warped_images225\real_realgan.png,0.005409,1.708982
./rotated_warped_images225\real_realgan.png,0.005409,1.646561
./rotated_warped_images225\real_stylegan.png,0.000130,1.643743
./rotated_warped_images225\real_stylegan.png,0.000130,1.663002
./rotated_warped_images225\with-mask-default-mask-seed0000.png,0.964720,22.059391
./rotated_warped_images225\with-mask-default-mask-seed0000.png,0.964720,21.501231
./rotated_warped_images225\with-mask-default-mask-seed0001.png,0.991218,21.923604
./rotated_warped_images225\with-mask-default-mask-seed0001.png,0.991218,22.272327
./rotated_warped_images225\with-mask-default-mask-seed0002.png,0.975165,21.937962
./rotated_warped_images225\with-mask-default-mask-seed0002.png,0.975165,22.202512
./rotated_warped_images225\with-mask-default-mask-seed0003.png,0.943247,22.577995
./rotated_warped_images225\with-mask-default-mask-seed0003.png,0.943247,22.797634
./rotated_warped_images225\with-mask-default-mask-seed0004.png,0.973665,21.639033
./rotated_warped_images225\with-mask-default-mask-seed0004.png,0.973665,21.748394
./rotated_warped_images225\with-mask-default-mask-seed0005.png,0.981525,21.668525
./rotated_warped_images225\with-mask-default-mask-seed0005.png,0.981525,22.203156
./rotated_warped_images225\with-mask-default-mask-seed0006.png,0.964702,21.763834
./rotated_warped_images225\with-mask-default-mask-seed0006.png,0.964702,21.880850
./rotated_warped_images225\with-mask-default-mask-seed0007.png,0.945395,21.547143
./rotated_warped_images225\with-mask-default-mask-seed0007.png,0.945395,21.754244
