filename,logit,time
./swirled_images\warped_image_0.png,1.000000,0.913651
./swirled_images\warped_image_0.png,1.000000,0.964751
./swirled_images\warped_image_1.png,0.996819,0.961579
./swirled_images\warped_image_1.png,0.996819,0.876498
./swirled_images\warped_image_10.png,0.000000,7.271015
./swirled_images\warped_image_10.png,0.000000,8.382452
./swirled_images\warped_image_11.png,0.000000,0.908161
./swirled_images\warped_image_11.png,0.000000,0.881492
./swirled_images\warped_image_12.png,0.000048,0.873471
./swirled_images\warped_image_12.png,0.000048,0.893471
./swirled_images\warped_image_13.png,0.093317,0.940061
./swirled_images\warped_image_13.png,0.093317,1.033738
./swirled_images\warped_image_14.png,0.000000,1.003940
./swirled_images\warped_image_14.png,0.000000,0.925967
./swirled_images\warped_image_15.png,0.000347,0.890902
./swirled_images\warped_image_15.png,0.000347,0.892851
./swirled_images\warped_image_16.png,0.000000,0.941563
./swirled_images\warped_image_16.png,0.000000,0.924188
./swirled_images\warped_image_2.png,1.000000,0.954123
./swirled_images\warped_image_2.png,1.000000,0.924616
./swirled_images\warped_image_3.png,1.000000,0.908907
./swirled_images\warped_image_3.png,1.000000,0.956586
./swirled_images\warped_image_4.png,0.941916,0.957368
./swirled_images\warped_image_4.png,0.941916,0.891272
./swirled_images\warped_image_5.png,0.998293,0.878192
./swirled_images\warped_image_5.png,0.998293,0.956024
./swirled_images\warped_image_6.png,0.000000,7.497061
./swirled_images\warped_image_6.png,0.000000,7.428929
./swirled_images\warped_image_7.png,0.000567,7.369550
./swirled_images\warped_image_7.png,0.000567,7.317909
./swirled_images\warped_image_8.png,0.000794,7.316848
./swirled_images\warped_image_8.png,0.000794,8.306093
./swirled_images\warped_image_9.png,0.000000,8.568932
./swirled_images\warped_image_9.png,0.000000,8.634286
